id,created_at,text
560101531794821120,2015-01-27 15:46:26,Native video support in REST and Streaming API https://t.co/VrFm1qGZnF
557920275376144384,2015-01-21 15:18:53,Adding a new social event to the Streaming API - retweet has been retweeted https://t.co/qmIF7W9Iyl
555416022539583488,2015-01-14 17:27:53,RT @TwitterDev: Today we are excited to announce a series of Fabric events worldwide: Flock! Register here: http://t.co/94u6lpk1D8 http://t…
552807479147778049,2015-01-07 12:42:28,Announcing the addition of animated GIFs to JSON payloads for REST and Streaming APIs https://t.co/O9eWzMPay7
552756851910393856,2015-01-07 09:21:17,RT @TwitterDev: Jumpstart your Twitter integration by checking out @twitterdev on Github https://t.co/quFH80JSdu http://t.co/qiZraIhIOx
540647748186681344,2014-12-04 23:24:02,Deprecation of the account/update_profile_colors endpoint https://t.co/Fk6AlAHKXw
540637626932686848,2014-12-04 22:43:49,Announcing some upcoming changes to the Lists API https://t.co/H3HHbnk8NX
527255252257763328,2014-10-29 00:27:02,RT @twittersecurity: We are switching from report-only to enforce-mode CSP headers to block mixed content on http://t.co/OOBCoscBzv: https:…
525027220960444416,2014-10-22 20:53:38,We've published updated Developer Policy and Agreement documents today - announcement on our forums https://t.co/TS3nKGCrea
525013268730224641,2014-10-22 19:58:12,Announcing @fabric: The easiest way to make the best apps https://t.co/TmEGvIskQ1
522339641815748608,2014-10-15 10:54:09,RT @twittersecurity: We have disabled SSLv3 protocol support in response to the vulnerability published today. You may need to update your …
515288036242763776,2014-09-25 23:53:36,The OAuth / xAuth issue affecting REST endpoints has been resolved. Please visit our OAuth forums for support https://t.co/XiKCrlfCNX
515255192787230720,2014-09-25 21:43:05,We are aware of the OAuth / xAuth issue affecting REST endpoints. We are addressing the issue and will update when resolved.
512015920735059968,2014-09-16 23:11:22,RT @TwitterDev: We're building great content for @Flight. Apply to attend &amp; learn what's behind the red lines. http://t.co/u0oD3is0CI http:…
509752725588824065,2014-09-10 17:18:15,RT @crashlytics: Join Crashlytics and Twitter @Flight to learn how we can help you build the best mobile apps. http://t.co/rbvYUO6QkZ http:…
509752672535068672,2014-09-10 17:18:02,"RT @TwitterDev: Join us at Twitter @Flight and learn how we can help you build the best mobile apps. October 22nd, in SF. Visit http://t.co…"
497137014530383872,2014-08-06 21:47:55,RT @TwitterDev: Learn how to consume millions of tweets with @twitterapi at #TDC2014 in São Paulo #bigdata tomorrow at 2:10pm http://t.co/p…
491619642679373824,2014-07-22 16:23:51,"RT @TwitterDev: Join us in 1 hour for a G+ Hangout to learn how to get more from a Tweet using Twitter Cards
https://t.co/pHnC9KFqm0
https:…"
489499407654879232,2014-07-16 19:58:47,"RT @TwitterDev: Now available, Answers by Crashlytics. Gain insight into your app’s usage. Learn more and get started. https://t.co/t35pKS1…"
481196574844792832,2014-06-23 22:06:18,Goal! Detecting the most important World Cup moments https://t.co/D6SEk3EwYR
476775278878789633,2014-06-11 17:17:39,RT @crashlytics: Why do it once when you can do it twice? Crashlytics + Twitter Invite You to our I/O Party http://t.co/CaK42rjbfj http://t…
476763726826459136,2014-06-11 16:31:44,RT @TweetDeck: A security issue that affected TweetDeck this morning has been fixed. Please log out of TweetDeck and log back in to fully a…
472070711830274048,2014-05-29 17:43:23,"Now available, Beta by Crashlytics.  Invite and manage testers for your apps. https://t.co/qcmMuq8XrZ"
472070292550864896,2014-05-29 17:41:43,RT @crashlytics: It’s Official. Introducing Beta by Crashlytics http://t.co/07StxbrdXl #androiddev #iosdev http://t.co/cexybiOUor
471352322677694464,2014-05-27 18:08:45,RT @TwitterDev: Come hangout with @TwitterDev on May 29th at 1PM PDT and ask your API and syndication questions! http://t.co/KMuvnNOCgw
469578184434778112,2014-05-22 20:38:58,On May 28th PDT (UTC-7) we will launch support for composing tweets with multiple images via the REST API. Details: https://t.co/XB1rnLfFmo
469183215714828288,2014-05-21 18:29:30,RT @TwitterDev: Developer Spotlight: Botanicalls via @jbulava  https://t.co/EtJEF3XFOt
467352118966235136,2014-05-16 17:13:22,Forthcoming tweak to streaming API error codes from June https://t.co/HbQsmbkLmQ
466290782471606273,2014-05-13 18:56:00,Twitter Developer Events: May 2014 https://t.co/Y8RUKLcWt1
466290415600029696,2014-05-13 18:54:33,RT @crashlytics: We're doing it again! Join Crashlytics &amp; Twitter to kick off WWDC at this year's hottest party http://t.co/MhKD9VTC9H http…
465905036950654977,2014-05-12 17:23:11,Now you can mute users on Twitter https://t.co/zGBgt5LOJd - here are the new API endpoints https://t.co/wC2AXYBuRI
464535669453619200,2014-05-08 22:41:48,RT @TwitterDev: Issue fixed: tokens not updating on http://t.co/tBJddtCUwN now resolved.  https://t.co/gRCkuEhmDu updated with status (clos…
464442009625718785,2014-05-08 16:29:38,Current known issue: tokens not updating on https://t.co/a1dP2K07jK. We are actively working on a fix. https://t.co/xo6ys3L7Xu for updates.
464122198077091840,2014-05-07 19:18:49,Bootstrapping Sign in with Twitter https://t.co/4i7QRWpe5L
463778866796826624,2014-05-06 20:34:33,"Delivering great video and audio on Twitter, made simple https://t.co/7tXX5q3wPQ"
461907034313465856,2014-05-01 16:36:33,Learn how to monetize your mobile apps using MoPub native ads. https://t.co/VLSGPYq6UP
459384945815719936,2014-04-24 17:34:40,RT @TwitterDev: New REST API endpoint for bulk lookup of Tweets by ID -  https://t.co/NsOjHvCgbL.
458663100921950208,2014-04-22 17:46:19,"RT @TwitterAds: ANNOUNCING the global launch of native ads for all @mopub publishers: 
https://t.co/bx1zsdNHfH"
456056890774941697,2014-04-15 13:10:10,"We have agreed to acquire @gnip, welcome to the flock! https://t.co/fXrE36fjPZ"
454004717496979456,2014-04-09 21:15:34,RT @twittersecurity: http://t.co/OOBCosuKND &amp; http://t.co/oPmJvpbS6v servers were not affected by OpenSSL vulnerability CVE-2014-0160 http:…
453289427700170752,2014-04-07 21:53:15,"X-Connection-Hash to replace X-Transaction header for debugging streaming API issues, starting April 14. Read more: https://t.co/aiWEKiuXmn"
453277539683684352,2014-04-07 21:06:01,User &amp; Site Streams bug fix when user @-mentioned by protected account rolling out April 8-9. Read more: https://t.co/tt9aAT4IEC
451829583348633600,2014-04-03 21:12:21,Twitter Developer Events: April 2014 https://t.co/FEozay7PTN
451597658826608642,2014-04-03 05:50:46,Expect rollout of backend changes to streaming endpoints to take several more days. Read more: https://t.co/2JSqxMfYFI
450758589682966528,2014-03-31 22:16:37,"Reminder: Backend changes to streaming endpoints begin rolling out tomorrow, April 1. Read more: https://t.co/2JSqxMfYFI"
449277253860352000,2014-03-27 20:10:19,"RT @TwitterDev: Streaming API will be ""replaying"" some Tweets starting at 1PM (Pacific) today. https://t.co/YkpeBC8ixZ"
449277149950640128,2014-03-27 20:09:54,"User &amp; Site Streams getting some updates and fixes, rolled out in two phases, April 8-9 and April 29-30. Read more: https://t.co/HVmA0ynHRD"
446320599900516352,2014-03-19 16:21:37,April 1-2: some streaming endpoints getting backend upgrades that will potentially affect bandwidth. Read more: https://t.co/2JSqxMfYFI
446320041043050496,2014-03-19 16:19:24,"RT @TwitterOSS: hosebird client (hbc) v2.0 released by @kevino and team, check out the new release notes https://t.co/l0jkFgvLMZ"
443439988709941248,2014-03-11 17:35:06,"Broadcasting the voices of WordPress users, one Tweet at a time https://t.co/XCkAskpXVB"
439100912372428800,2014-02-27 18:13:10,RT @crashlytics: Announcing Crashlytics Labs Project: Beta Distribution http://t.co/JifugCbtU2 #androiddev #iosdev http://t.co/Y0e2Ahm9lI
